id,date,ip_address,sensor_name,current,voltage,active_power,reactive_power
1,2025-02-10 16:37:53,192.168.3.3,Sensor3,47.943,324.463,6031.25,1209.02
2,2025-02-10 16:38:02,192.168.1.1,Sensor1,42.158,410.822,7204.44,3517.05
4,2025-02-12 01:26:28,192.168.1.1,Sensor3,11.652,277.404,617.216,5584.12
5,2025-02-13 01:52:54,192.168.1.1,Sensor1,10.012,198.242,12208.7,1038.37
7,2025-02-15 12:06:05,192.168.3.3,Sensor2,19.224,120.867,2568.57,3519.31
8,2025-02-15 12:06:06,192.168.1.1,Sensor2,25.44,437.193,984.85,2092.22
11,2025-03-28 22:56:29,192.168.1.1,Sensor2,29.571,244.656,2836.79,1431.17
12,2025-03-28 23:04:24,192.168.1.1,Sensor2,27.447,271.283,2177.2,304.247
13,2025-03-28 23:06:21,192.168.1.1,Sensor1,36.058,260.946,8729.11,4942.35
14,2025-03-28 23:11:34,192.168.1.1,Sensor2,10.753,20.247,9332.91,157.997
15,2025-04-02 09:53:40,192.168.1.1,Sensor2,46.053,151.343,21.337,612.318
16,2025-04-02 09:57:31,192.168.3.3,Sensor1,10.155,435.945,6426.82,2100.61
17,2025-04-05 00:15:25,192.168.3.3,Sensor3,8.111,17.967,671.009,12425.2
18,2025-04-05 00:15:43,192.168.1.1,Sensor2,32.267,37.811,9643.75,1272.9
19,2025-04-05 00:26:55,192.168.1.1,Sensor3,4.964,159.253,43.622,17192.9
20,2025-04-05 00:34:52,192.168.2.2,Sensor1,45.061,296.49,7788.79,5081.36
21,2025-04-05 00:41:52,192.168.3.3,Sensor1,45.385,255.232,4040.03,1598.91
22,2025-04-05 00:43:21,192.168.2.2,Sensor2,43.144,206.031,5680.43,10243.9
23,2025-04-05 00:45:38,192.168.3.3,Sensor3,27.383,75.455,8102.23,11995.4
24,2025-04-05 00:47:03,192.168.2.2,Sensor3,10.152,75.202,1075.6,230.31
25,2025-04-05 00:47:42,192.168.3.3,Sensor1,20.501,184.736,8504.72,17637.4
26,2025-04-05 00:48:05,192.168.3.3,Sensor1,5.925,422.656,669.751,1325.56
27,2025-04-06 20:39:57,192.168.3.3,Sensor3,28.419,27.852,248.312,2330.28
28,2025-04-06 20:43:13,192.168.2.2,Sensor1,2.496,221.893,4998.1,1539.79
29,2025-04-06 20:44:29,192.168.1.1,Sensor2,25.213,12.481,8683.37,2412.33
30,2025-04-06 20:45:42,192.168.3.3,Sensor2,15.21,168.332,4638.67,7611.24
31,2025-04-06 20:48:29,192.168.1.1,Sensor3,4.036,390.559,6126.71,7830.52
32,2025-04-06 20:49:52,192.168.1.1,Sensor1,47.172,266.463,88.387,5880.35
33,2025-04-06 21:11:33,192.168.3.3,Sensor1,27.739,230.39,5439.24,1434.99
