id,date,ip_address,sensor_name,current,voltage,active_power,reactive_power
1,2025-02-10 16:37:53,192.168.3.3,Sensor3,47.943,324.463,6031.25,1209.02
2,2025-02-10 16:38:02,192.168.1.1,Sensor1,42.158,410.822,7204.44,3517.05
5,2025-02-13 01:52:54,192.168.1.1,Sensor1,10.012,198.242,12208.7,1038.37
7,2025-02-15 12:06:05,192.168.3.3,Sensor2,19.224,120.867,2568.57,3519.31
8,2025-02-15 12:06:06,192.168.1.1,Sensor2,25.44,437.193,984.85,2092.22
11,2025-03-28 22:56:29,192.168.1.1,Sensor2,29.571,244.656,2836.79,1431.17
12,2025-03-28 23:04:24,192.168.1.1,Sensor2,27.447,271.283,2177.2,304.247
13,2025-03-28 23:06:21,192.168.1.1,Sensor1,36.058,260.946,8729.11,4942.35
14,2025-03-28 23:11:34,192.168.1.1,Sensor2,10.753,20.247,9332.91,157.997
15,2025-04-02 09:53:40,192.168.1.1,Sensor2,46.053,151.343,21.337,612.318
16,2025-04-02 09:57:31,192.168.3.3,Sensor1,10.155,435.945,6426.82,2100.61
17,2025-04-05 00:15:25,192.168.3.3,Sensor3,8.111,17.967,671.009,12425.2
18,2025-04-05 00:15:43,192.168.1.1,Sensor2,32.267,37.811,9643.75,1272.9
19,2025-04-05 00:26:55,192.168.1.1,Sensor3,4.964,159.253,43.622,17192.9
20,2025-04-05 00:34:52,192.168.2.2,Sensor1,45.061,296.49,7788.79,5081.36
21,2025-04-05 00:41:52,192.168.3.3,Sensor1,45.385,255.232,4040.03,1598.91
22,2025-04-05 00:43:21,192.168.2.2,Sensor2,43.144,206.031,5680.43,10243.9
23,2025-04-05 00:45:38,192.168.3.3,Sensor3,27.383,75.455,8102.23,11995.4
24,2025-04-05 00:47:03,192.168.2.2,Sensor3,10.152,75.202,1075.6,230.31
25,2025-04-05 00:47:42,192.168.3.3,Sensor1,20.501,184.736,8504.72,17637.4
26,2025-04-05 00:48:05,192.168.3.3,Sensor1,5.925,422.656,669.751,1325.56
27,2025-04-06 20:39:57,192.168.3.3,Sensor3,28.419,27.852,248.312,2330.28
28,2025-04-06 20:43:13,192.168.2.2,Sensor1,2.496,221.893,4998.1,1539.79
29,2025-04-06 20:44:29,192.168.1.1,Sensor2,25.213,12.481,8683.37,2412.33
30,2025-04-06 20:45:42,192.168.3.3,Sensor2,15.21,168.332,4638.67,7611.24
31,2025-04-06 20:48:29,192.168.1.1,Sensor3,4.036,390.559,6126.71,7830.52
32,2025-04-06 20:49:52,192.168.1.1,Sensor1,47.172,266.463,88.387,5880.35
33,2025-04-06 21:11:33,192.168.3.3,Sensor1,27.739,230.39,5439.24,1434.99
34,2025-04-06 21:19:27,192.168.1.1,Sensor2,34.426,148.235,6259.54,2174.44
35,2025-04-06 21:21:39,192.168.1.1,Sensor2,20.747,68.797,56.24,4124.22
36,2025-04-06 21:22:37,192.168.2.2,Sensor3,7.319,402.789,46.917,10426
37,2025-04-06 21:22:44,192.168.3.3,Sensor2,33.41,412.008,1156.06,4669.43
38,2025-04-06 21:24:50,192.168.2.2,Sensor2,11.463,276.89,3643.51,461.99
39,2025-04-06 21:27:19,192.168.2.2,Sensor1,18.296,300.772,1261.7,6278.32
40,2025-04-06 21:30:38,192.168.2.2,Sensor2,42,79.625,8867.78,2098.22
41,2025-04-06 21:38:35,192.168.1.1,Sensor2,9.146,211.027,278.072,238.122
42,2025-04-06 21:43:27,192.168.3.3,Sensor3,45.633,350.76,16150.7,10115.6
43,2025-04-06 22:12:27,192.168.3.3,Sensor3,34.573,51.868,10924.6,1489.26
44,2025-04-06 22:15:11,192.168.2.2,Sensor3,45.566,119.604,12970.4,37.577
45,2025-04-06 22:16:24,192.168.2.2,Sensor2,45.66,40.594,7345.58,2016.7
46,2025-04-06 22:21:46,192.168.2.2,Sensor3,28.629,78.511,828.97,6981.2
47,2025-04-06 22:27:17,192.168.2.2,Sensor1,26.532,138.555,1068.57,3351.61
48,2025-04-06 22:38:54,192.168.3.3,Office3,49.13,178.127,6036.69,8220.74
49,2025-04-06 22:42:43,192.168.1.1,Office3,33.296,209.897,13894.5,6883.75
50,2025-04-06 22:44:23,192.168.3.3,Office2,17.864,192.025,10964.3,9140.55
51,2025-04-06 22:45:02,192.168.2.2,Office2,1.346,229.437,164.734,3822.99
52,2025-04-06 22:46:02,192.168.3.3,Office3,31.403,150.722,5643.95,5178.33
53,2025-04-06 22:47:02,192.168.2.2,Office3,19.701,376.009,815.139,6622.95
54,2025-04-06 22:48:02,192.168.2.2,Office2,38.101,291.516,10151.1,15500.6
55,2025-04-06 22:49:02,192.168.1.1,Office2,36.44,337.974,763.742,6085.25
56,2025-04-06 22:50:02,192.168.3.3,Office1,1.779,121.233,1098.09,8097.74
57,2025-04-06 22:54:09,192.168.3.3,Office1,43.538,224.535,3534.62,17587.7
58,2025-04-06 22:55:09,192.168.3.3,Office2,33.13,413.17,2025.94,1581.11
59,2025-04-06 22:56:09,192.168.2.2,Office3,28.101,364.723,9931.21,1188.07
60,2025-04-06 23:04:25,192.168.3.3,Office3,10.934,110.858,7362.76,2629.18
